BRD4,SIPA1L3
BRD4,SLC15A4
BRD4,SLC16A1
BRD4,SLC16A1-AS1
BRD4,SLC16A10
BRD4,SLC2A3
BRD4,SLC40A1
BRD4,SLC44A1
BRD4,SMC2
BRD4,SMC6
BRD4,SMPD3
BRD4,SNTB2
BRD4,SNX10
BRD4,SOD2
BRD4,SP140
BRD4,SPATA7
BRD4,SPECC1
BRD4,SPIDR
BRD4,SPINK2
BRD4,SPTLC2
BRD4,SRGAP2
BRD4,SRGN
BRD4,ST3GAL3
BRD4,ST8SIA6
BRD4,STAT1
BRD4,STAT3
BRD4,STAT4
BRD4,STAT5A
BRD4,STEAP1B
BRD4,STK38L
BRD4,STMN1
BRD4,STPG2
BRD4,STRBP
BRD4,STX11
BRD4,STXBP4
BRD4,SUGCT
BRD4,SUMF1
BRD4,SUSD4
BRD4,SYNE1
BRD4,SYNE2
BRD4,SYTL2
BRD4,TBC1D32
BRD4,TBX21
BRD4,TCAIM
BRD4,TENT5A
BRD4,TENT5C
BRD4,TESK2
BRD4,TET2
BRD4,TET3
BRD4,TFDP2
BRD4,TGFBR3
BRD4,THEMIS
BRD4,TIAM1
BRD4,TMED8
BRD4,TMEM117
BRD4,TMEM156
BRD4,TMEM170B
BRD4,TMSB10
BRD4,TNF
BRD4,TNFAIP3
BRD4,TNFRSF10B
BRD4,TNFRSF1B
BRD4,TNFRSF21
BRD4,TNFSF10
BRD4,TOX
BRD4,TPD52
BRD4,TRAF3IP2-AS1
BRD4,TRIB1
BRD4,TRIM28
BRD4,TRPS1
BRD4,TTC7A
BRD4,TUBA1A
BRD4,TWSG1
BRD4,TXK
BRD4,TXN
BRD4,TXNDC11
BRD4,UBA6-AS1
BRD4,UBE2D1
BRD4,UBE2E2
BRD4,UBE2J1
BRD4,UBE3D
BRD4,UGCG
BRD4,ULBP1
BRD4,ULK2
BRD4,USP6NL
BRD4,VMP1
BRD4,WDFY2
BRD4,WDHD1
BRD4,WDPCP
BRD4,WWOX
BRD4,XRCC4
BRD4,YES1
BRD4,ZDHHC14
BRD4,ZEB1-AS1
BRD4,ZFAND5
BRD4,ZFAT
BRD4,ZFP64
BRD4,ZNF16
BRD4,ZNF235
BRD4,ZNF331
BRD4,ZNF438
BRD4,ZNRF1
BRD4,ZRANB2-AS2
BRD4,ZSWIM6
CEBPB,ABI3
CEBPB,ADAM28
CEBPB,AFF3
CEBPB,AHCYL2
CEBPB,AIG1
CEBPB,AIM2
CEBPB,ALOX5AP
CEBPB,ALPK1
CEBPB,AOAH
CEBPB,APLF
CEBPB,APP
CEBPB,ARHGAP26
CEBPB,ARID5B
CEBPB,ATAD2
CEBPB,ATF3
CEBPB,ATG7
CEBPB,AUNIP
CEBPB,B3GALNT2
CEBPB,BAZ2B
